,company_symbol,Name,Sector
172,DPS,Dr Pepper Snapple Group,Consumer Staples
173,EL,Estee Lauder Company,Consumer Staples
174,GIS,General Mills,Consumer Staples
175,HRL,Hormel Foods Corporation,Consumer Staples
176,SJM,JM Smucker,Consumer Staples
177,K,Kellogg Company,Consumer Staples
178,KMB,Kimberly Clark,Consumer Staples
179,KHC,Kraft Heinz Company,Consumer Staples
180,APC,Anadarko Petroleum Corporation,Energy
181,ANDV,Andeavor,Energy
182,APA,Apache Corporation,Energy
183,BHGE,Baker Hughes,Energy
184,COG,Cabot Oil & Gas,Energy
185,CVX,Chevron Corporation,Energy
186,XEC,Cimarex Energy,Energy
187,CXO,Concho Resources,Energy
188,COP,ConocoPhillips,Energy
189,DVN,Devon Energy Corporation,Energy
190,EOG,EOG Resources,Energy
191,EQT,EQT Corporation,Energy
192,XOM,Exxon Mobil Corporation,Energy
193,HAL,Halliburton Company,Energy
194,HP,Helmerich & Payne,Energy
195,HES,Hess Corporation,Energy
196,KMI,Kinder Morgan,Energy
197,MRO,Marathon Oil Corporation,Energy
198,MPC,Marathon Petroleum,Energy
199,NOV,National Oilwell Varco Inc.,Energy
